,Price,Area,Location,No. of Bedrooms,Gymnasium,Car Parking,Landscaped Gardens,Swimming Pool
1437,18500000,1020,Borivali East,2,Yes,Yes,Yes,Yes
1438,14500000,791,Kandivali West,2,Yes,Yes,No,Yes
1441,8900000,724,Thane West,2,Yes,Yes,Yes,Yes
1443,2357000,555,Virar East,1,No,No,No,No
1444,3600000,450,Dombivali,1,No,Yes,Yes,Yes
1445,10500000,625,Govandi,1,Yes,Yes,No,No
1446,11500000,650,Govandi,1,Yes,Yes,No,No
1447,10000000,1150,Koparkhairane Station Road,2,Yes,Yes,No,No
1448,10000000,1100,Kopar Khairane Sector 19A,2,Yes,Yes,No,No
1449,7500000,700,Kopar Khairane Sector 19A,2,Yes,Yes,No,No
1450,10500000,1150,Koper Khairane,2,Yes,Yes,No,No
1451,8000000,700,Koper Khairane,1,Yes,Yes,No,No
1452,7100000,700,Koper Khairane,2,Yes,Yes,No,No
1453,6000000,885,Shilphata Road Thane,2,Yes,Yes,No,No
1454,4300000,685,Mumbai Central,1,Yes,Yes,No,No
1455,6900000,685,Koper Khairane,1,Yes,Yes,No,No
1456,10500000,850,Kolshet Road,2,Yes,Yes,Yes,No
1457,15400000,1200,Vasant Vihar,3,Yes,Yes,Yes,No
1460,15000000,1109,Vasant Vihar,3,Yes,Yes,Yes,No
1462,12200000,1250,Kolshet Road,2,Yes,Yes,Yes,No
1463,12000000,1210,Kolshet Road,2,Yes,Yes,Yes,No
1464,10300000,1050,Kolshet Road,2,Yes,Yes,Yes,No
1467,16299999,1063,Thakur Village,2,No,Yes,No,No
1468,23500000,1050,Thakur Village,2,No,Yes,No,No
1469,24500000,1300,Samata nagar,3,No,Yes,No,No
1470,20000000,1250,Thakur Village,2,No,Yes,No,No
1471,25000000,1350,4 Bunglows,2,No,Yes,No,No
1472,25000000,1357,Thakur Village,3,No,Yes,No,No
1473,15500000,1100,Thakur Village,2,No,Yes,No,No
1474,11000000,585,Borivali East,1,No,Yes,No,No
1475,10500000,780,Thakur complex,1,No,Yes,No,No
1476,16500000,1050,Borivali East,2,No,Yes,No,No
1478,17200000,1100,Thakur complex,2,No,Yes,No,No
1479,10000000,650,Thakur Village,1,No,Yes,No,No
1480,23000000,1360,Thakur Village,3,No,Yes,No,No
1481,21000000,1050,Samata nagar,2,No,Yes,No,No
1482,23500000,1100,Samata nagar,3,No,Yes,No,No
1483,6050000,1246,Panvel,2,No,Yes,No,No
1484,4800000,695,Roadpali,1,No,Yes,No,No
1485,14500000,950,Wadi Bandar,2,Yes,Yes,No,No
1486,16800000,764,Kandivali East,2,Yes,Yes,No,No
1487,12000000,950,Kapurbawadi,2,Yes,Yes,No,No
1488,8500000,594,Majiwada,1,Yes,Yes,No,No
1489,7200000,508,Vasant Vihar,1,Yes,Yes,No,No
1490,6500000,675,Thane Belapur Road Kalwa,1,No,No,No,No
1491,5300000,560,Thane Belapur Road Kalwa,1,No,No,No,No
1492,10800000,653,mumbai,1,Yes,Yes,No,No
1493,11100000,550,Suburbs Mumbai,1,Yes,Yes,No,No
1494,8000000,1375,Thane,3,Yes,Yes,No,No
1495,2800000,400,Mira Road and Beyond,1,Yes,Yes,No,No
1496,6800000,890,Mira Road and Beyond,2,Yes,Yes,No,No
1497,3300000,530,Mumbai Central,1,Yes,Yes,No,No
1498,4100000,590,Mira Road and Beyond,1,Yes,Yes,No,No
1499,6500000,940,Mira Road and Beyond,2,Yes,Yes,No,No
1500,7600000,1760,Mira Road and Beyond,2,Yes,Yes,No,No
1501,6400000,1180,Mira Road and Beyond,2,Yes,Yes,No,No
1502,5500000,1115,Mumbai Central,2,Yes,Yes,No,No
1503,2800000,525,Mumbai Central,1,Yes,Yes,No,No
1504,3000000,500,Mumbai Nashik Expressway,1,Yes,Yes,No,No
1505,5400000,675,Dombivali East,1,No,Yes,Yes,No
1506,13000000,775,Bhandup West,1,Yes,Yes,No,Yes
1507,21500000,1225,Bhandup West,3,Yes,Yes,Yes,Yes
1508,4500000,390,Andheri West,1,Yes,Yes,No,No
1509,17000000,1050,Magathane,2,No,Yes,No,No
1510,19000000,1150,Rajendra Nagar,3,No,Yes,No,No
1511,20500000,1050,Magathane,2,No,Yes,No,No
1512,21000000,1250,Magathane,2,No,Yes,No,No
1513,24000000,1300,Dattapada,3,No,Yes,No,No
1514,15000000,950,Dattapada,2,No,Yes,No,No
1515,9800000,585,Magathane,1,No,Yes,No,No
1517,21500000,900,Kandivali East,3,No,Yes,No,No
1518,8800000,779,Kolshet Road,2,Yes,Yes,Yes,No
1519,5100000,383,Ramdev Park,1,No,Yes,No,No
1520,7300000,640,kolshet,2,No,Yes,No,No
1521,6100000,770,PARSIK NAGAR,1,No,Yes,No,No
1522,15800000,1325,Manpada,3,No,Yes,No,No
1523,2900000,695,Taloja,1,No,Yes,No,No
1524,4500000,650,Kharghar,1,No,Yes,No,No
1525,9600000,1083,Kharghar,2,No,Yes,No,No
1526,11000000,1364,Kharghar,3,No,Yes,No,No
1527,4800000,1110,Taloja,2,No,Yes,No,No
1528,2900000,695,Taloja,1,No,Yes,No,No
1529,6300000,1050,Taloja,2,No,Yes,No,No
1530,7050000,1000,Kharghar,2,No,Yes,No,No
1531,7500000,1050,Sector-35 Kamothe,2,No,Yes,No,No
1533,5700000,900,Mira Road and Beyond,2,No,Yes,No,No
1535,4665000,662,Diva,2,No,No,No,No
1536,8800000,820,kandivali,2,Yes,Yes,Yes,Yes
1537,7500000,685,kandivali,1,Yes,Yes,Yes,Yes
1538,20500000,1155,Borivali,3,Yes,Yes,Yes,Yes
1539,14500000,829,Borivali,2,Yes,Yes,Yes,Yes
1541,15000000,815,Ghatkopar,2,Yes,Yes,Yes,Yes
1545,18000000,1342,Goregaon,2,Yes,Yes,Yes,Yes
1546,15500000,1047,Malad West,2,Yes,Yes,Yes,Yes
1547,6300000,980,Sector 17 Ulwe,2,No,No,No,No
1548,7100000,700,Thane West,1,Yes,Yes,Yes,Yes
1549,11000000,620,Andheri East,1,Yes,Yes,Yes,Yes
1550,15000000,950,Andheri East,2,Yes,Yes,Yes,Yes
1552,2164000,571,Badlapur,1,No,Yes,No,No
1554,5994000,750,Mira Road East,1,Yes,No,No,No
1555,2534000,642,Badlapur,1,No,Yes,Yes,No
1556,17000000,1080,Andheri East,2,Yes,Yes,Yes,Yes
1557,19700000,880,Marol,2,No,Yes,No,No
1558,2105000,495,KASHELI,1,No,No,No,No
1559,11500000,800,Kondivita Road,1,No,Yes,No,No
1560,25000000,1356,Andheri East,2,No,Yes,No,No
1562,4800000,650,Mira Road East,1,Yes,Yes,No,Yes
1563,18500000,1242,Saki Naka,3,No,Yes,Yes,Yes
1564,5800000,675,Mira Road East,1,Yes,Yes,Yes,Yes
1565,10000000,650,Jogeshwari West,1,No,No,No,No
1566,2350000,625,Shirgaon,1,No,No,No,No
1567,6800000,565,Bhandup West,1,No,No,No,No
1568,7800000,956,Mira Road East,2,Yes,Yes,Yes,Yes
1569,3200000,650,Virar,1,Yes,No,Yes,Yes
1570,4800000,580,Mira Road East,1,No,Yes,No,No
1571,3100000,650,Virar,1,Yes,Yes,No,Yes
1572,2600000,650,Virar,1,Yes,Yes,No,Yes
1573,10500000,680,Bhayandar West,1,No,No,No,No
1574,6000000,650,Mira Road East,2,No,No,No,No
1575,4500000,560,Bhayandar East,1,No,No,No,No
1577,15500000,1530,Kharghar,3,Yes,Yes,Yes,Yes
1579,3100000,445,Dombivali East,1,No,No,No,No
1580,2100000,400,Dombivali East,1,No,No,No,No
1585,6500000,974,Goregaon East,2,Yes,No,Yes,Yes
1586,17000000,800,Rajendra Nagar,2,No,Yes,No,No
1595,4350000,800,Sriprastha,2,No,Yes,Yes,No
1597,4700000,840,Sriprastha,2,No,Yes,Yes,No
1598,4300000,900,Sriprastha,2,No,Yes,Yes,No
1599,3700000,890,Morya Nagar,2,No,No,No,No
1601,3300000,620,Morya Nagar,1,No,No,No,No
1603,10500000,723,Andheri West,1,Yes,No,No,No
1604,12000000,617,Chembur,1,Yes,Yes,Yes,Yes
1605,10000000,552,Borivali East,1,Yes,Yes,Yes,No
1606,15500000,845,Borivali East,2,Yes,Yes,Yes,No
1607,13799999,1137,Kandivali East,2,Yes,No,Yes,Yes
1608,19600000,1561,Kandivali West,3,Yes,Yes,Yes,Yes
1609,21000000,784,Kandivali West,3,Yes,Yes,No,No
1610,19900000,1550,Kandivali West,3,Yes,Yes,Yes,No
1611,4100000,650,Sector 22 Kamothe,1,Yes,Yes,No,No
1612,13500000,1560,Sector 22 Kamothe,3,Yes,Yes,No,No
1613,3750000,340,Kandivali East,1,Yes,Yes,No,No
1614,5700000,550,Thane West,1,Yes,Yes,Yes,Yes
1615,7600000,1098,Kamothe,2,Yes,Yes,No,No
1616,9200000,1310,Kamothe,2,Yes,Yes,No,No
1617,8000000,1109,Kamothe,2,Yes,Yes,No,No
1618,4200000,650,Kamothe,1,Yes,Yes,No,No
1624,3700000,790,IT Colony,2,Yes,Yes,Yes,Yes
1625,3500000,670,IT Colony,2,Yes,Yes,Yes,Yes
1626,7200000,699,Bhayandarpada,2,Yes,Yes,No,No
1627,9000000,1128,Kamothe,2,Yes,Yes,No,No
1628,8500000,1258,Kamothe,2,Yes,Yes,No,No
1629,9400000,1245,Kamothe Sector 16,2,Yes,Yes,No,No
1630,6800000,1101,Kamothe,2,Yes,Yes,No,No
1631,11200000,1532,Sector-8 Ulwe,3,No,Yes,No,No
1632,12100000,1515,Sector-18 Ulwe,3,No,Yes,No,No
1633,9200000,1175,Sector-18 Ulwe,2,No,Yes,No,No
1635,11600000,1585,Sector-3 Ulwe,3,No,Yes,No,No
1636,9000000,1220,Sector-3 Ulwe,2,No,Yes,No,No
1637,9000000,1220,Sector 5 Ulwe,2,No,Yes,No,No
1638,14500000,1655,Sector-18 Ulwe,3,No,Yes,No,No
1639,8900000,1150,Sector-18 Ulwe,2,No,Yes,No,No
1640,9500000,1100,Sector-18 Ulwe,2,No,Yes,No,No
1641,12000000,1600,Sector-18 Ulwe,3,No,Yes,No,No
1642,4000000,620,Sector-24 Kamothe,1,No,Yes,No,No
1643,13899999,1690,Sector-8 Ulwe,3,No,Yes,No,No
1644,9400000,1192,Kamothe Sector 16,2,No,Yes,No,No
1645,5500000,665,Kamothe,1,No,Yes,No,No
1646,11000000,1470,Sector-18 Ulwe,3,No,Yes,No,No
1647,8500000,1040,Sector 17 Ulwe,2,No,Yes,No,No
1649,8900000,1475,Sector 36 Kharghar,3,No,Yes,No,No
1651,11000000,1500,Sector 36 Kharghar,3,No,Yes,No,No
1652,6000000,650,Sector 20 Kharghar,1,No,Yes,No,No
1653,7500000,1055,Sector-18 Ulwe,2,No,Yes,No,No
1655,9000000,1129,Sector-18 Ulwe,2,No,Yes,No,No
1656,5000000,690,Sector12 Kamothe,1,No,Yes,No,No
1658,11900000,1585,Sector 6,3,Yes,No,Yes,Yes
1659,9100000,1180,Sector-18 Ulwe,2,No,Yes,No,No
1660,14500000,1109,vasant vihar thane west,3,Yes,Yes,Yes,Yes
1661,11500000,1065,vasant vihar thane west,2,Yes,Yes,Yes,Yes
1662,18500000,1130,Hiranandani Meadows,3,No,Yes,No,No
1664,11500000,1065,vasant vihar thane west,2,No,Yes,No,No
1666,11000000,650,Malad West,1,No,Yes,No,No
1667,10000000,650,Malad,1,Yes,Yes,No,No
1674,8100000,1250,Sector 19 Kharghar,2,Yes,Yes,No,No
1675,4500000,653,mumbai,1,Yes,Yes,No,No
1676,7700000,1125,Kamothe,2,Yes,Yes,No,No
1677,11200000,1400,Majiwada thane,3,Yes,Yes,No,No
1678,8500000,850,Yogi Hills,2,Yes,Yes,No,No
1679,4500000,550,Hiranandani Meadows,1,Yes,Yes,No,Yes
1680,18000000,1006,Andheri West,2,Yes,Yes,No,Yes
1681,7600000,1127,Kalyan West,2,Yes,Yes,Yes,Yes
1682,16000000,950,Jogeshwari West,2,No,Yes,Yes,No
1683,6500000,500,Sector 19 Nerul,1,No,No,No,No
1684,5100000,427,Owale,1,Yes,Yes,Yes,Yes
1685,2600000,384,Thane West,1,Yes,Yes,Yes,Yes
1686,18000000,1050,MG Road,2,No,Yes,No,No
1688,12100000,1525,roadpali navimumbai,3,Yes,Yes,Yes,Yes
1689,8400000,1139,roadpali navimumbai,2,No,Yes,Yes,No
1690,8250000,1139,roadpali navimumbai,2,No,Yes,Yes,No
1691,5800000,1060,taloja panchanand,2,No,Yes,No,Yes
1692,5800000,1025,taloja panchanand,2,No,Yes,Yes,Yes
1693,3600000,690,Taloja Bypass Nitalas Link Road,1,No,Yes,No,No
1694,3500000,670,taloja panchanand,1,No,Yes,No,No
1695,7053000,1085,Navi Basti,2,No,No,Yes,No
1696,4713000,725,Navi Basti,1,Yes,No,Yes,Yes
1697,11500000,1450,Mumbai Highway,3,Yes,Yes,Yes,No
1700,16500000,1482,Navi Basti,3,No,No,Yes,No
1701,2800000,482,Rasayani,1,Yes,Yes,Yes,Yes
1702,3500000,670,taloja panchanand,1,Yes,Yes,Yes,Yes
1703,11500000,1450,Sector 10 Kamothe,3,Yes,Yes,Yes,No
1704,4200000,555,Kamothe,1,Yes,Yes,Yes,Yes
1714,6800000,1065,Kalyan West,2,No,Yes,Yes,No
1715,7700000,510,Kandivali East,1,Yes,Yes,Yes,Yes
1716,8100000,1079,Kharghar,2,Yes,Yes,No,No
1717,8700000,1100,kavesar,2,Yes,Yes,No,No
1718,4500000,555,Owale,1,Yes,Yes,No,No
1719,8000000,1221,Kalamboli,2,Yes,Yes,No,No
1720,3850000,650,Roadpali,1,Yes,Yes,No,No
1721,3900000,380,Kharghar,1,Yes,Yes,Yes,Yes
1722,9000000,1171,Kopara,2,Yes,Yes,No,No
1723,19000000,1503,Mumbai Highway,3,No,Yes,No,Yes
1724,13500000,1415,Kharghar,3,Yes,Yes,No,Yes
1725,8400000,776,Sector 20 Kharghar,2,Yes,Yes,No,Yes
1726,13500000,1414,Kharghar,3,Yes,Yes,Yes,Yes
1727,12000000,1302,Sector 11 Kharghar,3,Yes,Yes,Yes,Yes
1728,8500000,966,Sector 19 Kharghar,2,No,Yes,Yes,No
1729,20200000,1040,Goregaon East,2,Yes,Yes,Yes,Yes
1730,10200000,585,Malad West,1,Yes,Yes,Yes,No
1731,8500000,600,Seawoods,1,No,No,No,No
1732,5300000,545,royal palms goregaon east,1,No,No,No,No
1733,7800000,1365,Dronagiri,2,No,Yes,Yes,No
1735,4300000,526,Goregaon East,1,Yes,Yes,Yes,Yes
1736,7200000,937,Goregaon East,3,No,Yes,No,No
1737,4199000,1278,Goregaon East,3,Yes,Yes,No,No
1738,4500000,693,Mira Road East,1,Yes,Yes,Yes,Yes
1739,4200000,640,Kharghar,1,No,Yes,No,No
1740,11500000,1182,Kharghar,2,No,Yes,No,No
1741,8000000,1000,Kharghar,2,No,Yes,No,No
1742,16000000,1600,Kharghar,3,No,Yes,No,No
1743,14500000,1655,Kharghar,3,No,Yes,No,No
1744,6500000,675,Kharghar,1,No,Yes,No,No
1745,9500000,1050,Kharghar,2,No,Yes,No,No
1746,8000000,800,Kharghar,2,No,Yes,No,No
1747,11000000,1100,mumbai,2,No,Yes,No,No
1748,9200000,1250,Kharghar,2,No,Yes,No,No
1749,5200000,590,Kharghar,1,No,Yes,No,No
1750,6000000,675,Kharghar,1,No,Yes,No,No
1751,13000000,1200,Kharghar,3,No,Yes,No,No
1752,10500000,911,Kharghar,2,No,Yes,No,No
1753,11100000,1117,Kharghar,2,No,Yes,No,No
1754,12700000,1125,Kharghar,2,No,Yes,No,No
1755,6000000,560,Kharghar,1,No,Yes,No,No
1756,5500000,650,Kharghar,1,No,Yes,No,No
1757,9800000,1090,Kharghar,2,No,Yes,No,No
1758,10000000,1463,Kharghar,2,No,Yes,No,No
1759,13000000,1500,Kharghar,3,No,Yes,No,No
1760,5500000,640,Kharghar,1,No,Yes,No,No
1761,7200000,860,Kharghar,1,No,Yes,No,No
1762,15000000,1300,Kharghar,3,No,Yes,No,No
1763,10500000,1075,Kharghar,2,No,Yes,No,No
1764,4600000,600,Kharghar,1,No,Yes,No,No
1765,5500000,450,Kharghar,1,No,Yes,No,No
1766,5000000,650,Kharghar,1,No,Yes,No,No
1767,13000000,1300,Kharghar,2,No,Yes,No,No
1768,8000000,914,Kharghar,2,No,Yes,No,No
1769,11000000,1100,Kharghar,2,No,Yes,No,No
1770,3900000,1120,Andheri,2,Yes,Yes,No,No
1771,21800000,999,Kandivali East,2,Yes,Yes,No,Yes
1773,7575000,550,Pokhran 2,1,No,Yes,No,No
1774,12500000,800,Mulund West,2,No,Yes,No,No
1775,7800000,545,Thane West,1,No,Yes,No,No
1776,7500000,600,Majiwada,1,No,Yes,No,No
1777,7800000,545,vrindavan society,1,No,Yes,No,No
1778,5700000,670,Kharghar,1,Yes,Yes,No,Yes
1779,10000000,825,Mira Road East,2,No,No,No,No
1780,4600000,715,Ulwe,1,No,No,No,No
1781,6000000,1040,Sector 23 Ulwe,2,No,No,No,No
1782,5000000,1000,Panvel,2,No,No,No,No
1783,16500000,860,Kandivali East,2,Yes,Yes,Yes,Yes
1784,3500000,590,Dombivli (West),2,No,Yes,No,No
1785,13500000,995,Thane West,2,Yes,Yes,No,Yes
1786,20000000,1500,CBD Belapur East,3,No,Yes,No,Yes
1787,13500000,1200,CBD Belapur East,2,No,Yes,No,Yes
1788,19500000,1400,CBD Belapur East,3,Yes,Yes,No,Yes
1789,17000000,670,Parel Village,1,No,Yes,No,No
1791,7800000,1125,Sector35D Kharghar,2,Yes,Yes,No,No
1792,7800000,600,Sector 19A Nerul,1,Yes,Yes,No,No
1793,16000000,650,Antop Hill,1,Yes,Yes,No,No
1795,18000000,769,Wadala East Wadala,1,Yes,Yes,No,No
1796,21500000,1010,Suman Nagar,2,No,Yes,No,No
1797,14900000,698,Wadala East Wadala,1,Yes,Yes,No,No
1798,20500000,1000,Antop Hill,2,Yes,Yes,No,No
1800,21000000,1130,Bhakti Park,2,Yes,Yes,No,No
1801,12800000,700,Antop Hill,1,Yes,Yes,No,No
1802,12000000,700,Antop Hill,1,Yes,Yes,No,No
1803,18000000,1060,Wadala East Wadala,2,Yes,Yes,No,No
1805,14000000,700,Pant Nagar,1,Yes,Yes,No,No
1809,21000000,1135,Bhakti Park,2,Yes,Yes,No,No
1811,20000000,1400,CBD Belapur East,3,Yes,Yes,No,Yes
1812,11500000,960,CBD Belapur East,2,Yes,No,No,Yes
1813,11000000,440,Bandra East,1,No,Yes,No,No
1815,11000000,1150,Ulwe,2,No,Yes,No,No
1816,4000000,625,Sector 18 Kamothe,1,No,Yes,No,No
1817,6800000,1000,Kamothe,2,No,Yes,No,No
1818,4900000,620,Sector 21 Kamothe,1,No,Yes,No,No
1829,11000000,585,VishnuNagar,1,No,Yes,No,No
1830,4050000,675,Vichumbe,1,No,No,No,No
1831,16500000,1500,Kharghar,3,Yes,Yes,No,Yes
1832,13500000,1140,Thane West,3,Yes,Yes,Yes,Yes
1833,9900000,771,Thane West,2,Yes,Yes,Yes,Yes
1835,14900000,900,Vashi,2,No,Yes,No,No
1836,8500000,990,Poonam Sagar Complex,2,No,No,No,No
1839,5600000,1000,Kalyan West,3,No,No,No,No
1840,14800000,1505,Thane West,3,Yes,Yes,Yes,Yes
1841,15400000,1570,Thane West,3,Yes,Yes,Yes,Yes
1842,12900000,1311,Thane West,3,Yes,Yes,Yes,Yes
1843,12700000,1290,Thane West,3,Yes,Yes,Yes,Yes
1844,11500000,1170,Thane West,2,Yes,Yes,Yes,Yes
1845,10800000,1102,Thane West,2,Yes,Yes,Yes,Yes
1846,9485000,963,Thane West,2,Yes,Yes,Yes,Yes
1847,8184999,831,Thane West,2,Yes,Yes,Yes,Yes
1848,11900000,1209,Thane West,2,Yes,Yes,Yes,Yes
1849,9377000,952,Thane West,2,Yes,Yes,Yes,Yes
1850,9958000,1011,Thane West,2,Yes,Yes,Yes,Yes
1851,9997000,1015,Thane West,2,Yes,Yes,Yes,Yes
1852,11100000,1135,Thane West,2,Yes,Yes,Yes,Yes
1853,10400000,1065,Thane West,2,Yes,Yes,Yes,Yes
1857,16500000,1465,Thane West,3,Yes,Yes,No,Yes
1858,12000000,950,Thane West,2,Yes,Yes,Yes,Yes
1859,2800000,375,Mulund East,1,No,Yes,Yes,No
1860,4800000,650,Mira Road East,1,No,No,No,No
1861,18000000,630,Ghatkopar West,2,No,Yes,No,No
1862,4300000,885,Powai Lake,2,Yes,Yes,No,No
1863,7200000,1012,Kamothe,2,No,Yes,No,No
1864,10000000,1129,Kamothe,2,No,Yes,No,No
1865,4925000,600,Kamothe,1,No,Yes,No,No
1866,7000000,1012,Kamothe,2,No,Yes,No,No
1867,12200000,1565,Kamothe,3,No,Yes,No,No
1868,5200000,630,Kamothe,1,No,Yes,No,No
1869,10400000,1129,Kamothe,2,No,Yes,No,No
1870,5100000,605,Kamothe,1,No,Yes,No,No
1871,5000000,600,Kamothe,1,No,Yes,No,No
1872,7900000,1000,Kamothe,2,No,Yes,No,No
1873,9500000,1310,Kamothe,2,No,Yes,No,No
1874,9500000,1225,Kamothe,2,No,Yes,No,No
1875,9300000,1310,Kamothe,2,No,Yes,No,No
1876,12500000,1540,Kamothe,3,No,Yes,No,No
1877,12400000,1565,Kamothe,3,No,Yes,No,No
1878,9800000,1225,Kamothe,2,No,Yes,No,No
1879,4800000,600,Kamothe,1,No,Yes,No,No
1880,4950000,635,Kamothe,1,No,Yes,No,No
1881,5300000,650,Kamothe,1,No,Yes,No,No
1882,23000000,1680,Sector-8 Sanpada,2,No,Yes,No,No
1884,14800000,1245,Airoli,2,No,Yes,No,No
1885,3600000,600,Balkum,1,No,Yes,No,No
1886,7000000,840,Hiranandani Estates,2,No,Yes,No,No
1887,5898000,600,Majiwada,1,No,Yes,No,No
1888,10800000,1209,Majiwada,2,No,Yes,No,No
1889,9600000,1100,kavesar,2,No,Yes,No,No
1890,6498999,730,kavesar,1,No,Yes,No,No
1891,9497000,1200,kavesar,2,No,Yes,No,No
1892,6497000,600,Vartak Nagar,1,No,Yes,No,No
1893,7998000,990,Vartak Nagar,2,No,Yes,No,No
1894,9496000,1100,Thane West,2,No,Yes,No,No
1895,12200000,1327,Balkum,3,No,Yes,No,No
1896,5894000,585,Majiwada,1,No,Yes,No,No
1897,7494000,800,Majiwada,2,No,Yes,No,No
1898,6498000,570,Vartak Nagar,1,No,Yes,No,No
1899,9300000,1100,kavesar,2,No,Yes,No,No
1900,7200000,860,Hiranandani Estates,2,No,Yes,No,No
1901,10500000,1170,Majiwada,2,No,Yes,No,No
1902,7495999,890,Vartak Nagar,2,No,Yes,No,No
1903,9499000,1100,kavesar,2,No,Yes,No,No
1904,7300000,800,Majiwada,2,No,Yes,No,No
1905,5900000,585,Majiwada,1,No,Yes,No,No
1906,12400000,1300,Vartak Nagar,3,No,Yes,No,No
1907,8400000,376,Rajendra Nagar,1,No,Yes,No,No
1908,19000000,764,Charkop,2,No,Yes,No,No
1909,22200000,995,dhanukarwadi,3,No,Yes,No,No
1910,8500000,405,Vazira,1,No,Yes,No,No
1911,4400000,600,Kalyan West,2,No,Yes,No,No
1912,10500000,400,Link Road,1,No,Yes,No,No
1913,7300000,1149,Haware City,3,Yes,Yes,Yes,Yes
1914,4250000,560,Haware City,1,Yes,No,Yes,Yes
1915,6000000,650,Mira Road East,1,No,Yes,Yes,No
1917,8500000,1175,Vasai West,3,No,No,No,No
1918,13000000,550,Four Bunglows,1,No,Yes,No,No
1919,15900000,867,Borivali West,2,No,Yes,No,No
1920,5550000,990,Palava,2,No,Yes,No,No
1921,9900000,539,Borivali West,1,Yes,Yes,No,No
1923,2700000,640,Virar,1,Yes,Yes,No,Yes
1931,3200000,285,Vasai east,1,No,Yes,No,No
1932,14200000,950,Malad West,2,Yes,Yes,Yes,No
1935,2100000,245,Mira Road East,1,No,Yes,Yes,No
1936,7959999,755,Kalyan West,2,No,Yes,Yes,No
1937,2350000,430,Badlapur East,1,No,Yes,Yes,No
1938,3979999,413,Kalyan West,1,No,Yes,Yes,No
1939,4100000,465,Kalyan West,1,No,Yes,Yes,No
1940,4800000,610,Kalyan West,2,No,Yes,Yes,No
1941,4380000,610,Kalyan West,2,No,Yes,Yes,No
1942,4380000,610,Kalyan West,2,No,Yes,Yes,No
1943,5060000,650,Kalyan West,2,No,Yes,Yes,No
1944,4380000,430,Kalyan West,1,No,Yes,Yes,No
1945,4800000,485,Kalyan West,1,No,Yes,Yes,No
1946,5800000,686,Dombivali East,2,Yes,Yes,Yes,No
1947,4580000,430,Kalyan West,1,No,Yes,Yes,No
1948,2600000,500,Badlapur East,1,No,Yes,Yes,No
1949,7500000,660,Kalyan West,2,No,Yes,Yes,No
1950,4450000,455,Kalyan West,1,No,Yes,Yes,No
1951,2840000,466,Ambernath East,1,No,Yes,Yes,No
1952,5800000,686,Dombivali East,2,No,Yes,Yes,No
1953,3500000,450,Kalyan West,1,No,Yes,Yes,No
1954,7100000,660,Kalyan West,2,No,Yes,Yes,No
1955,8300000,790,Kalyan West,2,No,Yes,Yes,No
1956,2560000,441,Badlapur East,1,No,Yes,Yes,No
1957,2400000,480,Badlapur,1,No,Yes,Yes,No
1958,4650000,525,Kalyan West,1,No,Yes,Yes,No
1959,5800000,663,Kalyan West,2,No,Yes,Yes,No
1960,4200000,440,Kalyan West,1,No,Yes,Yes,No
1961,3700000,417,Kalyan West,1,No,Yes,Yes,No
1962,3700000,650,Taloja,1,No,Yes,Yes,No
1963,4800000,660,Kharghar,1,No,Yes,No,No
1965,12000000,720,Malad East,1,Yes,Yes,No,Yes
1966,2800000,510,Taloja,1,Yes,Yes,No,No
1967,2600000,520,Taloja,1,No,Yes,No,No
1968,2400000,490,Taloja,1,No,Yes,No,No
1969,2200000,470,Taloja,1,No,Yes,Yes,No
1970,15000000,800,Chembur,2,Yes,No,No,No
1973,8300000,1095,Mira Road East,2,Yes,Yes,Yes,No
1974,5100000,695,Mira Road East,1,Yes,Yes,Yes,Yes
1975,8100000,1055,Mira Road East,2,Yes,Yes,Yes,Yes
1976,6800000,875,Mira Road East,2,Yes,Yes,Yes,Yes
1977,5100000,675,Mira Road East,1,Yes,Yes,Yes,Yes
1987,12800000,750,Pokhran Road No 2,2,No,Yes,No,No
1988,12800000,1100,Sainath Nagar,2,No,Yes,No,No
1990,19000000,1600,Sainath Nagar,3,No,Yes,No,No
1993,13200000,1120,Kapur Bawdi,2,No,Yes,No,No
1994,2300000,254,Mira Road East,1,No,No,No,No
1995,2000000,220,Mira Road East,1,No,No,No,No
1996,8300000,525,Kandivali East,1,Yes,Yes,No,Yes
1997,7400000,650,Nerul,1,No,Yes,No,No
1998,9500000,826,Kolshet Industrial Area,2,No,Yes,No,No
1999,7500000,1050,PARSIK NAGAR,2,No,Yes,No,No
2000,5800000,630,PARSIK NAGAR,1,No,Yes,No,No
2001,9000000,985,PARSIK NAGAR,2,No,Yes,No,No
2002,5000000,650,PARSIK NAGAR,1,No,Yes,No,No
2003,7800000,1000,PARSIK NAGAR,2,No,Yes,No,No
2004,4200000,650,Sector16 Ulwe,1,No,Yes,No,No
2005,11100000,1205,Seawoods,2,No,Yes,No,No
2006,18900000,1225,Thakur complex,2,No,Yes,No,No
2007,14000000,900,Borivali East,2,No,Yes,Yes,No
2008,15000000,1000,Kandivali East,2,Yes,Yes,Yes,Yes
2009,7600000,560,thakur village kandivali east,1,No,Yes,Yes,Yes
2012,16500000,1065,Kandivali East,3,No,Yes,Yes,No
2013,7400000,650,Bhandup West,1,Yes,Yes,No,No
2014,8500000,800,Mira Road East,2,No,Yes,Yes,No
2015,11000000,1102,Majiwada thane,2,No,Yes,Yes,No
2016,15000000,1400,Mumbai Agra National Highway,3,No,Yes,Yes,No
